iter	Logloss
0	0.391463698
1	0.2368417912
2	0.1341779605
3	0.07885142492
4	0.04829487078
5	0.03153260345
6	0.02136280532
7	0.01536037149
8	0.01151367223
9	0.00901280835
10	0.007154962764
11	0.006063807585
12	0.005245340511
13	0.004654196474
14	0.004222903533
15	0.003878007226
16	0.003611207254
17	0.00341517384
18	0.003251050423
19	0.003117724634
20	0.003001495949
21	0.002921225356
22	0.002829075147
23	0.002772679448
24	0.002722798959
25	0.002680036819
26	0.002650338178
27	0.002625752674
28	0.002564172628
29	0.002547319242
30	0.002516862472
31	0.002481139361
32	0.002465459241
33	0.002446799282
34	0.00239583403
35	0.002377402634
36	0.002327018867
37	0.002298370214
38	0.00226536972
39	0.002254960168
40	0.002228820987
41	0.002198659979
42	0.002168841257
43	0.00215418369
44	0.002135734969
45	0.002120711318
46	0.002106153145
47	0.002097006672
48	0.002083265115
49	0.002066055102
50	0.00204665504
51	0.002034593063
52	0.002019628731
53	0.002013025094
54	0.002005644464
55	0.001995725276
56	0.001988924579
57	0.001982479142
58	0.00195997991
59	0.001937383464
60	0.001922699532
61	0.001906283097
62	0.00190148494
63	0.001894745982
64	0.001883470179
65	0.001873065447
66	0.001863600744
67	0.001858944887
68	0.001853211071
69	0.001833418312
70	0.001828574134
71	0.001821774703
72	0.001801574937
73	0.001793412204
74	0.001773103464
75	0.00177152289
76	0.001764613754
77	0.001756529838
78	0.001744169795
79	0.001739713777
80	0.001735983621
81	0.001733476139
82	0.001723588241
83	0.001717618243
84	0.001711198936
85	0.001702939944
86	0.001694823308
87	0.001687695072
88	0.001681281232
89	0.00166700605
90	0.001649756829
91	0.001640854005
92	0.001625536082
93	0.001612465929
94	0.001608521307
95	0.001596805747
96	0.001589373544
97	0.001582601092
98	0.001579976754
99	0.001574082845
100	0.001570744532
101	0.001566726045
102	0.00155985285
103	0.001556037417
104	0.001553490606
105	0.001548837217
106	0.001541721044
107	0.001537922367
108	0.001535655282
109	0.001518455493
110	0.001503253466
111	0.00149583711
112	0.001493427977
113	0.001487274042
114	0.001483284482
115	0.001480648877
116	0.001478219964
117	0.001476590341
118	0.001472617337
119	0.001465402906
120	0.001456565459
121	0.001446493413
122	0.001440345707
123	0.001436163969
124	0.001425486287
125	0.001421736054
126	0.001402368314
127	0.001398846013
128	0.001392513545
129	0.001389066618
130	0.001376414669
131	0.001368487143
132	0.001362516294
133	0.001359002957
134	0.001353121335
135	0.001347882604
136	0.00134523108
137	0.001334062902
138	0.001326794635
139	0.001321472515
140	0.00131538618
141	0.001311910853
